word,count
sam,39
thirsty,39
startin',39
center,39
blowin',39
slugs,39
screamin,39
brrap,39
he'd,38
unknown,38
sweetest,38
buried,38
leads,38
drum,38
fever,38
shop,38
impossible,38
presence,38
load,38
jamaica,38
el,38
refuse,38
fifth,38
itself,38
rope,38
rocky,38
hating,38
innocent,38
v,38
faster,38
tank,38
sons,38
ol',38
latest,38
due,38
oxygen,38
meat,38
spanish,38
theyll,38
bullets,38
rebel,38
cheek,38
lip,38
vuitton,38
biting,38
broad,38
nut,38
lower,38
seein',38
gyal,38
mic,38
fox,38
asshole,38
alejandro,38
conversation,37
mention,37
sins,37
begins,37
signs,37
burned,37
ending,37
restless,37
risk,37
mend,37
praise,37
dip,37
temptation,37
thin,37
telephone,37
suit,37
sweeter,37
valerie,37
drip,37
add,37
leg,37
husband,37
molly,37
aware,37
monday,37
rocking,37
underground,37
makeup,37
watchin',37
charge,37
papa,37
whoever,37
killin,37
yell,37
rollin,37
actin,37
breast,37
click,37
shelf,37
swagger,37
gates,37
orleans,37
roads,37
remix,37
pat,37
fans,37
swerve,37
rihanna,37
dolly,37
driver,37
pimpin,37
frontin,37
eheh,37
fallen,36
guide,36
shelter,36
desert,36
hoping,36
dwell,36
changing,36
complete,36
confused,36
mrs,36
hangin',36
whoo,36
strangers,36
reached,36
tail,36
jacket,36
enjoy,36
suddenly,36
bob,36
butterflies,36
circus,36
hatin',36
patient,36
og,36
ooooh,36
bell,36
victim,36
smoked,36
score,36
traveling,36
clicks,36
christ,36
bees,36
helped,36
county,36
winner,36
kingston,36
coupe,36
beep,36
butterfly,36
ugh,36
fo',36
kelly,36
'gainst,36
pressin,36
choke,35
knives,35
neither,35
reaching,35
fifteen,35
harm,35
silent,35
minutes,35
recall,35
swim,35
agree,35
flashing,35
orange,35
wicked,35
god's,35
para,35
pon,35
blown,35
visit,35
seconds,35
di,35
experience,35
bullet,35
neighbors,35
opportunity,35
separate,35
medicine,35
letters,35
captain,35
danced,35
serious,35
pulling,35
should've,35
hidden,35
seed,35
ohhh,35
accept,35
demons,35
lonesome,35
los,35
lots,35
jumped,35
pardon,35
throne,35
doesnt,35
slaves,35
whom,35
also,35
plastic,35
competition,35
womanizer,35
fist,35
carter,35
badder,35
mayne,35
alexander,35
denial,35
universe,34
pushed,34
frozen,34
completely,34
chose,34
stories,34
nobody's,34
gather,34
weren't,34
mother's,34
pity,34
thief,34
granted,34
solo,34
roam,34
pouring,34
pump,34
patience,34
wing,34
liked,34
london,34
troubled,34
sheep,34
herself,34
hated,34
penny,34
works,34
miami,34
draw,34
seek,34
downfall,34
jones,34
paul,34
tuesday,34
plate,34
issues,34
hay,34
would've,34
holiday,34
sudden,34
prayers,34
knockin,34
critics,34
dr,34
'pon,34
yoy,34
baby's,34
pines,34
ribbon,34
projects,34
woop,34
represent,34
homey,34
maybach,34
rb,34
chris,34
dada,34
laying,33
poison,33
drops,33
cigarette,33
softly,33
wasting,33
troubles,33
divine,33
tower,33
violence,33
president,33
hooked,33
paying,33
slick,33
daily,33
dome,33
laughed,33
cane,33
energy,33
pale,33
movies,33
winning,33
teacher,33
trippin,33
packed,33
pill,33
faded,33
definitely,33
conquer,33
voodoo,33
bent,33
answers,33
lap,33
goose,33
lake,33
walkin,33
thatll,33
written,33
jimmy,33
model,33
trash,33
groovy,33
sippin',33
lamborghini,33
jeep,33
sue,33
piano,33
figures,33
temple,33
whipped,33
stash,33
stomp,33
intro,33
messin,33
begun,32
ignore,32
heading,32
offer,32
cruel,32
